time,open,high,low,close,tick_volume,spread,real_volume
2025-05-07 11:53:00+02:00,23275.5,23282.8,23275.5,23277.5,34,150,0
2025-05-07 11:54:00+02:00,23277.0,23283.8,23276.8,23281.9,39,150,0
2025-05-07 11:55:00+02:00,23282.0,23283.9,23275.8,23278.7,34,150,0
2025-05-07 11:56:00+02:00,23278.9,23283.9,23276.8,23283.8,61,150,0
2025-05-07 11:57:00+02:00,23283.7,23284.3,23278.8,23280.7,34,150,0
2025-05-07 11:58:00+02:00,23280.7,23280.9,23273.0,23275.4,65,150,0
2025-05-07 11:59:00+02:00,23275.5,23282.7,23273.3,23278.2,94,150,0
2025-05-07 12:00:00+02:00,23278.7,23285.8,23229.5,23229.5,219,150,0
2025-05-07 12:01:00+02:00,23229.7,23255.4,23225.7,23252.4,170,150,0
2025-05-07 12:02:00+02:00,23252.5,23265.5,23246.5,23249.4,159,150,0
2025-05-07 12:03:00+02:00,23249.6,23260.1,23247.0,23249.4,143,150,0
2025-05-07 12:04:00+02:00,23249.5,23255.4,23235.0,23243.0,157,150,0
2025-05-07 12:05:00+02:00,23242.6,23246.4,23230.5,23235.4,172,150,0
2025-05-07 12:06:00+02:00,23235.5,23241.1,23220.3,23226.2,161,150,0
2025-05-07 12:07:00+02:00,23229.7,23238.0,23229.7,23235.5,147,150,0
2025-05-07 12:08:00+02:00,23235.0,23240.0,23226.9,23239.1,139,150,0
2025-05-07 12:09:00+02:00,23239.1,23251.5,23238.8,23241.3,129,150,0
2025-05-07 12:10:00+02:00,23242.5,23257.6,23242.3,23251.0,148,150,0
2025-05-07 12:11:00+02:00,23250.9,23261.0,23250.4,23257.9,137,150,0
2025-05-07 12:12:00+02:00,23259.9,23261.0,23247.4,23247.4,142,150,0
2025-05-07 12:13:00+02:00,23247.6,23261.1,23247.5,23260.2,136,150,0
2025-05-07 12:14:00+02:00,23260.5,23272.4,23255.7,23258.1,160,150,0
2025-05-07 12:15:00+02:00,23258.3,23260.7,23245.7,23250.8,120,150,0
2025-05-07 12:16:00+02:00,23250.7,23259.6,23240.3,23240.3,116,150,0
2025-05-07 12:17:00+02:00,23239.9,23250.8,23239.9,23246.8,110,150,0
2025-05-07 12:18:00+02:00,23246.7,23250.7,23239.6,23241.9,132,150,0
2025-05-07 12:19:00+02:00,23241.9,23244.0,23236.6,23242.2,103,150,0
2025-05-07 12:20:00+02:00,23242.1,23244.6,23235.7,23238.6,104,150,0
2025-05-07 12:21:00+02:00,23238.5,23247.0,23232.9,23246.0,100,150,0
2025-05-07 12:22:00+02:00,23245.3,23259.3,23245.3,23258.4,115,150,0
2025-05-07 12:23:00+02:00,23258.2,23261.7,23254.0,23257.2,111,150,0
2025-05-07 12:24:00+02:00,23256.8,23257.9,23246.9,23248.5,99,150,0
2025-05-07 12:25:00+02:00,23248.3,23262.7,23243.3,23261.1,115,150,0
2025-05-07 12:26:00+02:00,23260.6,23267.1,23260.6,23267.1,102,150,0
2025-05-07 12:27:00+02:00,23268.9,23274.9,23268.7,23268.8,96,150,0
2025-05-07 12:28:00+02:00,23268.8,23271.8,23263.7,23266.2,127,150,0
2025-05-07 12:29:00+02:00,23265.9,23266.9,23258.8,23260.0,108,150,0
2025-05-07 12:30:00+02:00,23259.9,23262.9,23254.8,23257.9,120,150,0
2025-05-07 12:31:00+02:00,23257.7,23260.4,23247.4,23250.1,113,150,0
2025-05-07 12:32:00+02:00,23251.1,23255.6,23238.3,23238.3,106,150,0
2025-05-07 12:33:00+02:00,23238.2,23246.3,23236.7,23242.4,103,150,0
2025-05-07 12:34:00+02:00,23242.3,23249.2,23239.2,23244.2,97,150,0
2025-05-07 12:35:00+02:00,23243.7,23248.2,23236.0,23236.1,111,150,0
2025-05-07 12:36:00+02:00,23236.7,23242.0,23236.7,23238.4,99,150,0
2025-05-07 12:37:00+02:00,23238.6,23248.4,23233.8,23233.8,100,150,0
2025-05-07 12:38:00+02:00,23233.8,23238.6,23226.2,23228.1,91,150,0
2025-05-07 12:39:00+02:00,23228.0,23234.0,23228.0,23234.0,101,150,0
2025-05-07 12:40:00+02:00,23234.1,23239.0,23227.3,23227.3,75,150,0
2025-05-07 12:41:00+02:00,23226.5,23227.6,23224.4,23225.0,87,150,0
2025-05-07 12:42:00+02:00,23224.9,23234.0,23215.5,23216.2,114,150,0
2025-05-07 12:43:00+02:00,23216.1,23219.7,23206.8,23207.3,101,150,0
2025-05-07 12:44:00+02:00,23207.3,23214.2,23202.9,23213.3,105,150,0
2025-05-07 12:45:00+02:00,23213.3,23226.3,23212.9,23226.3,102,150,0
2025-05-07 12:46:00+02:00,23226.1,23234.6,23218.8,23234.5,105,150,0
2025-05-07 12:47:00+02:00,23233.9,23246.8,23233.0,23246.8,86,150,0
